Store name, number of reviews, consumption, main cuisine, address, detail link, detail rating, business hours
Yangzhidao Mongolian Taste (Panyu Store), 3467,99, skewers, Chimelong/Nancun, https://www.dianping.com/shop/FYxEkfgIFgQH9XRL, Taste: 9.1 Environment: 9.0 Service: 9.0, Monday to Sunday 11:00-14:0017:00-22:00
Go to our Northeastern Cuisine (Fangcun Store), 120,54, Northeastern Cuisine, Fangcun, https://www.dianping.com/shop/l5bgUUGnFCb14ifP, Taste: 7.5 Environment: 7.1 Service: 7.4, Monday to Sunday 10:00 -02:00
Xuanzhi Honzan cuisine reservation, 1786,96, Japanese cuisine, Shiqiao, https://www.dianping.com/shop/l8gp0bbIXAUb32id, Taste: 8.4 Environment: 8.4 Service: 8.3, Spring, Autumn and Winter, Monday to Sunday 11:00 -13:0016:00-18:00
NextCake Birthday Cake (Tiyu West Road Store), 993,221, Bread Baking, Tianhe City/Sports Center, https://www.dianping.com/shop/H7Vnoy1uLl1jbJQb, Taste: 9.0 Environment: 8.6 Service: 9.0, Monday to Sunday 10:00-19:30
Xinjia Farm Cuisine (Huajing Xincheng Store), 389,89, Jiangxi Cuisine, Tianhe Park/Shangshe, https://www.dianping.com/shop/l2dw872D0tpLhMFl, Taste: 7.4 Environment: 7.1 Service: 7.2, Monday to Sunday 09:30-22:00
Duck Five Pieces Private Kitchen Cuisine (Hainan Lianshengfang Store), 1820,91, Private Kitchen Cuisine, Liwan District, https://www.dianping.com/shop/H72IHSPXwByAZauh, Taste: 8.4 Environment: 7.5 Service: 7.9, Monday to Sunday Day 11:00-14:30 17:00-21:30
Northern Family Banquet (Nansha Dagang Branch), 399,63, Northeastern Cuisine, Dagang, https://www.dianping.com/shop/kaHD5C8Gm4uZE8wI, Taste: 8.4 Environment: 8.3 Service: 8.3, Saturday and Sunday 11: 00-14:3017:00-21:30Monday to Friday11:00-14:0017:00-21:30
Northern Family Banquet (Luoxi Branch), 1473,73, Northeastern Cuisine, Luoxi, https://www.dianping.com/shop/k2vuelOIcPxOXNDQ, Taste: 8.5 Environment: 8.4 Service: 8.3, Monday to Sunday 11:00 -14:3017:00-21:30
Northern Family Banquet (Qifu Shop), 1403,73, Northeastern Cuisine, Zhongcun, https://www.dianping.com/shop/G16jWlc1KFYY1O7t, Taste: 8.2 Environment: 8.6 Service: 8.2, Monday to Friday 11:00- 14:3017:00-21:00Saturday and Sunday11:00-15:0017:00-21:00
Northern Family Banquet (Utopia Science Avenue Store), 1964,75, Northeastern cuisine, Science City/Luogang Gaodehui, https://www.dianping.com/shop/Enxtam2QoIxTDc7w, Taste: 8.7 Environment: 8.8 Service: 8.7, Saturday and Sunday 11:00-14:30, 17:00-21:30, Monday to Friday 11:00-14:00, 17:00-21:30
Northern Family Banquet (Qifu Shop), 1402,73, Northeastern Cuisine, Zhongcun, https://www.dianping.com/shop/G16jWlc1KFYY1O7t, Taste: 8.2 Environment: 8.6 Service: 8.2, Monday to Friday 11:00- 14:3017:00-21:00Saturday and Sunday11:00-15:0017:00-21:00
Northern Family Banquet (Nansha Dagang Branch), 399,64, Northeastern Cuisine, Dagang, https://www.dianping.com/shop/kaHD5C8Gm4uZE8wI, Taste: 8.4 Environment: 8.3 Service: 8.3, Saturday and Sunday 11: 00-14:3017:00-21:30Monday to Friday11:00-14:0017:00-21:30
Northern Family Banquet (Utopia Science Avenue Store), 1964,75, Northeastern cuisine, Science City/Luogang Gaodehui, https://www.dianping.com/shop/Enxtam2QoIxTDc7w, Taste: 8.7 Environment: 8.8 Service: 8.7, Saturday and Sunday 11:00-14:30, 17:00-21:30, Monday to Friday 11:00-14:00, 17:00-21:30
Northern Family Banquet (Panyu Yongwang Store), 3333,72, Northeastern Cuisine, Panyu Square, https://www.dianping.com/shop/k3hOce2VTku2c02k, Taste: 8.2 Environment: 8.7 Service: 8.2, Saturday and Sunday 11: 00-14:3017:00-21:30Monday to Friday11:00-14:0017:00-21:30
Northern Family Banquet (Panyu Yongwang Store), 3334, 72, Northeastern Cuisine, Panyu Square, https://www.dianping.com/shop/k3hOce2VTku2c02k, Taste: 8.2 Environment: 8.7 Service: 8.2, Saturday and Sunday 11: 00-14:3017:00-21:30Monday to Friday11:00-14:0017:00-21:30
When I was a child, No. 1 Primary School (Fashion Tianhe Commercial Plaza Store), 457, 25, snacks, Fashion Tianhe, https://www.dianping.com/shop/G214YR4o3jdyhXIL, Taste: 7.7 Environment: 7.9 Service: 7.6, Friday to Sunday 10:00-22:00 Monday to Thursday 10:00-21:30
When I was a child, No. 1 Primary School (Fashion Tianhe Commercial Plaza Store), 457, 25, snacks, Fashion Tianhe, https://www.dianping.com/shop/G214YR4o3jdyhXIL, Taste: 7.7 Environment: 7.9 Service: 7.6, Friday to Sunday 10:00-22:00 Monday to Thursday 10:00-21:30
Eat crayfish together (No. 5 Helipad Shop), 800,80, Crayfish, No. 5 Helipad, https://www.dianping.com/shop/kak49qfPG8oMn2MW, Taste: 7.9 Environment: 7.6 Service: 8.1, Monday to Sunday 16:30-24:0000:00-02:30
Eat crayfish·seafood together (Shiqiao store), 863,101, crayfish, Shiqiao, https://www.dianping.com/shop/k3yPUfJk3ZpqxWLA, Taste: 9.0 Environment: 8.4 Service: 9.0, Monday to Sunday 11: 00-02:30
Let’s eat crayfish·seafood (Wanbo store), 2413,128, crayfish, Chimelong/Nancun, https://www.dianping.com/shop/k4uXPt8CxcrWU9MG, Taste: 9.0 Environment: 8.5 Service: 8.9, Monday to Sunday 10:00-24:0000:00-03:00
Eat crayfish·seafood together (Luoxi Xincheng store), 309,94, crayfish, Luoxi, https://www.dianping.com/shop/la1wgpsZ3nXugRo7, taste: 8.4 environment: 7.9 service: 8.5, Monday to Sunday 11:00-02:00
Eat crayfish·seafood together (Luoxi Xincheng store), 309,94, crayfish, Luoxi, https://www.dianping.com/shop/la1wgpsZ3nXugRo7, taste: 8.4 environment: 7.9 service: 8.5, Monday to Sunday 11:00-02:00
Eat Crayfish·Seafood Together (Wanbo Store), 2412,128, Crayfish, Chimelong/Nancun, https://www.dianping.com/shop/k4uXPt8CxcrWU9MG, Taste: 9.0 Environment: 8.5 Service: 8.9, Monday to Sunday 10:00-24:0000:00-03:00
Eat crayfish·seafood together (Gangding store), 1375,104, seafood, Gangding/Longkou, https://www.dianping.com/shop/G6AgAegjsCpNsMMN, Taste: 8.9 Environment: 8.3 Service: 8.8, Monday to Sunday 11:00-03:00
Eat crayfish·seafood together (Haizhu store), 886,104, crayfish, along Binjiang Road, https://www.dianping.com/shop/jodMg2BmCKZCtYgR, taste: 8.9 environment: 8.5 service: 9.1, Monday to Sunday 11: 00-02:00
Yunshuiyao Leisure Farm, 390,79, Hunan Cuisine, Panyu District, https://www.dianping.com/shop/l84NvD4AQ5Ahvq9K, Taste: 7.3 Environment: 7.7 Service: 7.4, Monday to Sunday 10:30-21:30
Hongfuyan Hunan and Gansu Cuisine (Lixindian), 677,82, Jiangxi Cuisine, Xintang, https://www.dianping.com/shop/G4IxLI9xVfyENr9O, Taste: 8.8 Environment: 8.8 Service: 8.8, Monday to Friday 10 :30-14:3016:30-21:00Saturday and Sunday10:30-21:002023-09-29 to 2023-...
Burton Western Food·Flame Steak (Jinfuxing Plaza Store), 2970,76, Western Food, Xintang Plaza, https://www.dianping.com/shop/H4AVZWsRF3PF7UG3, Taste: 9.0 Environment: 9.1 Service: 9.1, Monday to Sunday Sunday 11:00-22:00
Gaozhuang Private Kitchen, 198,155, Private Kitchen, Panyu District, https://www.dianping.com/shop/G816bw8oo0JtD2FP, Taste: 7.3 Environment: 7.1 Service: 7.1, Monday to Sunday 11:30-14:0018:00 -21:30
Gaozhuang Private Kitchen, 198,155, Private Kitchen, Panyu District, https://www.dianping.com/shop/G816bw8oo0JtD2FP, Taste: 7.3 Environment: 7.1 Service: 7.1, Monday to Sunday 11:30-14:0018:00 -21:30
Xilai Chaojia Seafood Casserole Porridge (Tonghe Store), 314,78, Chaoshan Cuisine, Tonghe/Jingxi, https://www.dianping.com/shop/k23ez8HCood62z3P, Taste: 7.1 Environment: 6.8 Service: 7.0, Monday to Sunday 17:30-04:00
Xibei Noodle Village (Zhengjia Store), 24792,93, Northwest folk cuisine, Teem City/Sports Center, https://www.dianping.com/shop/l6i62DxGOlANmNDQ, Taste: 8.9 Environment: 8.8 Service: 9.0, Monday to Sunday 10:30-21:30
Xibei Noodle Village (Wanguo Plaza Store), 6973,86, Northwest folk cuisine, along Jiangnan Avenue, https://www.dianping.com/shop/G8SBfh9l03CmKyzZ, Taste: 9.0 Environment: 9.0 Service: 9.1, Monday to Sunday Sunday 10:30-21:30
Xibei Noodle Village (CapitaLand Yunshang Store), 6036,85, Northwest folk cuisine, Baiyun Greenland Center, https://www.dianping.com/shop/k4O6lFXql7MNPjfv, Taste: 9.0 Environment: 9.0 Service: 9.1 , Monday to Sunday 10:30-21:30
Hefu Noodles (Zhengjia Plaza Store), 2358, 40, Noodle Shop, Teem City/Sports Center, https://www.dianping.com/shop/k2fBrMa32WjfC1HV, Taste: 8.9 Environment: 9.0 Service: 9.0, Monday to Sunday 10:00-21:30
Chen Xianggui·Lanzhou Beef Noodles (Tianhe Lingzhan Plaza Store), 2289,29, Noodle House, Xingsheng Road/Horse Racecourse, https://www.dianping.com/shop/H3EWpr3vIS7FJE5D, Taste: 8.9 Environment: 8.8 Service: 8.8, Monday to Sunday 10:00-21:30
McDonald's (Xiongfeng Mall Store), 378, 26, Western-style fast food, Zhongcun, https://www.dianping.com/shop/H1D2L51iCsG1wMsk, Taste: 8.7 Environment: 8.7 Service: 8.7, Monday to Sunday 07:00- 23:00
Real Kung Fu (Xinshi Airport Store), 334, 26, fast food, along Airport Road, https://www.dianping.com/shop/G1GJ83utDFk8X63x, Taste: 8.6 Environment: 8.6 Service: 8.6, Monday to Sunday 07 :00-21:00
Cooking Hunan·Freshly Fried Hunan Local Cuisine (Xingye Avenue Store), 427,67, Hunan Cuisine, Changlong/Nancun, https://www.dianping.com/shop/EXwujqMLJeEzpDZv, Taste: 8.7 Environment: 8.7 Service: 8.6, Monday to Sunday 10:30-22:00
BURGERBAR Burger Bar·Western Food (Tiyu West Road Store), 3546,83, Western Food, Teem City/Sports Center, https://www.dianping.com/shop/l4tZynQCYZlu7Jqn, Taste: 8.7 Environment: 8.8 Service: 8.7, Friday Saturday 11:30-21:30 Monday to Thursday Sunday 11:30-21:00 2023-09-28 to 2023-10-051...
Hefu noodles (Rongchuang Maodian), 1024,40, porridge noodles, Sunac Mao, https://www.dianping.com/shop/l2icQlQz5tRg4YyT, Taste: 8.7 Environment: 8.8 Service: 8.8, Monday to Sunday 10:00-21:30
Grandma's beef offal·Intangible cultural heritage snacks (Tianhe Nanyi Road Store), 600, 21, offal, Teem City/Tiyuxi, https://www.dianping.com/shop/k7oydLCeG7lqe1GM, Taste: 8.5 Environment: 8.3 Service: 8.5 , Monday to Sunday 10:30-21:30
Hefu Noodles (CapitaLand Yunshang Store), 613,37, Noodle Shop, CapitaLand, https://www.dianping.com/shop/FFTzcWq6ApWnHTpJ, Taste: 8.5 Environment: 8.6 Service: 8.6, Monday to Sunday 10:00-21:00 daily
Sanliang Noodles (CapitaLand Plaza Store), 608, 25, porridge noodles, CapitaLand Plaza, https://www.dianping.com/shop/G5RaFgrIKwhPkajT, Taste: 8.5 Environment: 8.6 Service: 8.6, Monday to Sunday 09:30-21:30
Sanliang Noodles (Baixin Plaza Store), 608, 24, porridge noodles, Baixin Plaza, https://www.dianping.com/shop/l2T6caFZtLvndeQB, Taste: 8.6 Environment: 8.5 Service: 8.5, Monday to Sunday 10:00-22:00
Grandma's beef offal·Intangible cultural heritage snacks (Tiande store), 150,24, offal, Xingsheng Road/Liede, https://www.dianping.com/shop/iUOTQwrx63rio4jI, Taste: 8.5 Environment: 8.4 Service: 8.5, Monday to Sunday 10:00-23:00
Ajisen Ramen (Guangzhou Jinsha Aeon Mall Store), 839, 41, Japanese noodles, Luo Chongwei/Jinshazhou, https://www.dianping.com/shop/kaHE5owYZaok231G, Taste: 8.6 Environment: 8.6 Service :8.3, Monday to Sunday 10:00-21:00
McDonald's (Kailuo Avenue store), 502, 21, Western-style fast food, Central City, https://www.dianping.com/shop/l1uDHQ2U2017eIwG, Taste: 8.6 Environment: 8.5 Service: 8.5, Monday to Sunday 07:00- 23:00
Burger King (Yingbin Avenue Branch), 166, 25, Western-style fast food, Huadu Square/District Government, https://www.dianping.com/shop/H98sdDszNYH0ghLe, Taste: 8.5 Environment: 8.4 Service: 8.4, Monday to Sunday 08:00-22:00
Yaesheng · Fried Pork Chop · Set Food (R&F Haizhucheng Store), 227,40, fast food and simple meals, along Jiangnan Avenue, https://www.dianping.com/shop/l29BxtcJeAYERZR3, Taste: 8.3 Environment: 8.1 Service: 8.4, Monday to Friday 11:00-14:0017:00-21:00Saturday and Sunday 11:00-21:00
McDonald's (Times Impression Branch), 161,25, Western fast food, Taiping Town/Taiping Commercial Street, https://www.dianping.com/shop/l1CBJkhLqMk5zfQC, Taste: 8.6 Environment: 8.5 Service: 8.5, Monday to Sunday 07 :00-23:00
囍臸·HEEYCHEER (Yongqingfang store), 1093, 42, snacks, Shangxiajiu Commercial District, https://www.dianping.com/shop/k9AMvhUGkoNvJHB4, Taste: 8.5 Environment: 8.4 Service: 8.4, Monday to Friday 11:00-20:30Saturday and Sunday 11:00-21:302023-09-29 to 2023-10-0610:30-...
Xijiade (China Plaza Store), 225, 36, dumplings, China Plaza, https://www.dianping.com/shop/j4o44UdX3wPToRbC, Taste: 8.5 Environment: 8.4 Service: 8.5, Monday to Sunday 10:00- 21:00
Dayang original stew (Dezheng Middle Road store), 3365, 25, stew, Zhongshan Ersan Road/Dongshankou, https://www.dianping.com/shop/kayo2KoUhv94Xp5o, Taste: 8.6 Environment: 7.8 Service: 7.9, Monday to Sunday 11:00-23:30
Jidi Fen·Handmade Rice Noodles (Lie De Branch), 430, 24, Porridge Noodles, Xingsheng Road/Lie De, https://www.dianping.com/shop/k72tnCjqbYXLr1sK, Taste: 8.6 Environment: 8.5 Service: 8.6, Monday to Sunday 08:00-22:00
Yuyouluo·Liuzhou Snail Noodles (Chenjiaci Store), 288,17, porridge noodles, Qiba Road, Zhongshan, https://www.dianping.com/shop/k9iRtEETmOTi9i1w, Taste: 8.6 Environment: 8.6 Service: 8.6 , all day Monday to Sunday
Changlin Laoyou Noodles, 192, 21, porridge noodles, Tongdewei, https://www.dianping.com/shop/G8FpMQFTV0lATzbg, Taste: 8.3 Environment: 8.3 Service: 8.3, Monday to Sunday 10:00- 21:30
Qixiaoluo·Snail Noodles (Xinrong Plaza Store), 99,15, porridge noodles, Xinronghong Plaza, https://www.dianping.com/shop/GaQzemV6TQ4GY2Ej, Taste: 8.3 Environment: 8.3 Service: 8.3, All day Monday to Sunday
Noodle manufacturing·EGGTEMP, 101,34, porridge noodles, along Dongxiao South Road, https://www.dianping.com/shop/FFYFwJMm7D6wgfTU, Taste: 8.3 Environment: 8.2 Service: 8.4, Monday to Sunday 11:00 -20:30
Ma Dan Snail Rice Noodles (Tangxia Store), 218,17, Porridge Noodles, Tangxia, https://www.dianping.com/shop/iFuNgoLhuNDtpBmR, Taste: 8.1 Environment: 8.2 Service: 8.3, Monday to Sunday 10 :00-01:30
SUBWAY (Hopson Plaza Store), 370, 31, Western-style fast food, Kecun/Chigang, https://www.dianping.com/shop/l26EFHJ5DClgaqP9, Taste: 8.4 Environment: 8.5 Service: 8.4, Monday to Sunday 09:00-21:00
Tustin Chinese Burger (Xilang Subway Store), 253,19, Western fast food, Liwan District, https://www.dianping.com/shop/l8vz02pXuKwqdrnY, Taste: 8.4 Environment: 8.2 Service: 8.1, Monday to Sunday 10:00-24:00
Mengziyuan Small Pot Rice Noodles (Luogang Wanda Store), 185, 19, snacks, Science City/Luogang Gaodehui, https://www.dianping.com/shop/H1SPmf5z3RzjykQm, Taste: 8.4 Environment: 8.2 Service: 8.3, Monday to Sunday 09:00-23:30
McDonald's (Huadu Jiahua Plaza Store), 294, 20, Western fast food, Baiyun International Airport, https://www.dianping.com/shop/G6VZ7FIGMlROwhcp, Taste: 8.4 Environment: 8.2 Service: 8.3, All day from Monday to Sunday
McDonald's (Famous Store City), 932, 17, Western-style fast food, along Jiangnan Avenue, https://www.dianping.com/shop/H5a0TdVEu9LDodax, Taste: 8.2 Environment: 8.1 Service: 8.2, Monday to Sunday 07:00-22 :00
Real Kung Fu (Tianhe Xintiandi Store), 200, 21, fast food, Tianhe Passenger Station, https://www.dianping.com/shop/l4OGRz6TSVEgzXXw, taste: 8.2 Environment: 8.2 Service: 8.1, Monday to Sunday 10: 00-21:00
Sun Ye High Soup Snail Noodles·Snail Noodles (Shangshe Branch), 800, 20, porridge noodles, Tianhe Park/Shangshe, https://www.dianping.com/shop/H8X1FzlQnT0knZ6N, Taste: 8.3 Environment: 8.1 Service :8.2, Monday to Sunday 09:30-24:00
Happy Woods (Pearl River·Xinghuo 1926 Store), 325,34, fast food, Beijing Road Commercial District, https://www.dianping.com/shop/l6msPDnb1Gc2GngY, taste: 8.2 Environment: 8.3 Service: 8.3, Monday to Sunday 07:00-21:00
Grandma Beef Offal·Intangible Cultural Heritage Snacks (Xihu Road Store), 5427, 26, Beef Offal, Beijing Road Commercial District, https://www.dianping.com/shop/l3gFD4MzMxEQfEzO, Taste: 8.3 Environment: 8.0 Service: 8.3, Monday to Sunday 11:00-21:30
Xiongji Shrimp King·Crayfish (Pazhou store), 1263,120, crayfish, Pazhou, https://www.dianping.com/shop/k7zRpIv3S3g3ik74, Taste: 8.4 Environment: 8.3 Service: 8.1, Monday to Sunday 16:30 -02:30
Yi Porridge Hui·Signature Fish Porridge (Tianhe North Branch), 927,70, Snacks, Tianhe Bei/Guangzhou East Railway Station, https://www.dianping.com/shop/G6DE4EQDS6QHQUuH, Taste: 8.3 Environment: 8.3 Service: 8.4, Monday to Sunday 09:30-22:00
Weishi Noodles, 202,23, Porridge Noodles, Haizhu Plaza, https://www.dianping.com/shop/G5OJmiaqIWZnqI5w, Taste: 8.4 Environment: 8.1 Service: 8.5, Monday to Sunday 09:00-21:00
Dianbai Shalang River Noodle Shop, 303, 12, porridge noodles, Xinshi, https://www.dianping.com/shop/H7FcHg2eqai8Sv2f, Taste: 8.6 Environment: 6.8 Service: 7.7, Monday to Sunday 07:00- 20:00
Meet Xiaomian (Yunmen NewPark store), 1444, 29, porridge noodles, Jiahe Wanggang, https://www.dianping.com/shop/k1OPoaii0fMIdqW4, Taste: 8.5 Environment: 8.5 Service: 8.4, Monday to Sunday 10:00-22:00
Max·Super large crispy chicken legs (Beijing Road store), 240,25, Fried chicken and fried skewers, Beijing Road business district, https://www.dianping.com/shop/G9QlJuBUCL1TP7jO, Taste: 8.3 Environment: 7.6 Service: 8.3, Monday to Sunday 10:00-22:00
Meet Xiaomian (Jiangyan Road Wankeli store), 3365, 32, porridge noodles, along Industrial Avenue, https://www.dianping.com/shop/G4wavm4IaDQqamna, taste: 8.2 environment: 8.3 service: 8.3, Monday to Sunday 10:00-22:00
Xijie Fried Skewers (Dongping Middle Road Store), 74,20, Fried Chicken Skewers, Jiahe/Hehe, https://www.dianping.com/shop/H26rdeXC2vQfKWHY, Taste: 8.3 Environment: 8.3 Service: 8.3, Monday to Sunday 11:00-01:30
Grandma's beef offal·Intangible cultural heritage snacks (Yongqingfang store), 1219,25, offal, Shangxiajiu Commercial District, https://www.dianping.com/shop/l9lxg10C3Nl5CJMX, Taste: 8.4 Environment: 8.3 Service: 8.4, Monday to Sunday 10:00-22:00
Zhang Lala Lanzhou Shredded Beef Noodles (Zhengjia Plaza Store), 1388,30, Porridge Noodles, Zhengjia Plaza, https://www.dianping.com/shop/jcbWYficSgpp00Ze, Taste: 8.3 Environment: 8.1 Service: 8.2, Monday to Sunday Sunday 11:00-22:00
Three Chili Peppers·Hunan Hot Beef Noodles (Tianyu Plaza Store), 539, 23, Porridge Noodles, Shipai/Longkou, https://www.dianping.com/shop/H7k8lzstGM4wuMSt, Taste: 8.3 Environment: 8.4 Service :8.5, Monday to Sunday 10:00-22:00
Yanyan Food·Traditional Cantonese Snacks, 224,15, Beef Offal, Kangwang Road, https://www.dianping.com/shop/G5Y18leaZA5LPAKc, Taste: 8.2 Environment: 8.1 Service: 8.5, Monday to Sunday 09:30 -20:30
Tan Shaozhu Sheng Noodles (Xiaobei Branch), 334, 22, porridge noodles, Dongfeng Middle Road/Yuexiu Park, https://www.dianping.com/shop/l4u7ElhpeX7MaDJx, Taste: 8.4 Environment: 7.5 Service: 7.8, Saturday and Sunday Sunday 07:00-17:00 Monday to Friday 07:00-14:0017:00-20:00
Meet Xiaomian (Panyu Cambridge County Store), 245, 31, porridge noodles, Changlong/Nancun, https://www.dianping.com/shop/l6bkvNr0cNNBViJs, Taste: 8.3 Environment: 8.3 Service: 8.3, Monday to Sunday all sky
Yuelai Food Stall, 99,56, crayfish, Chebei/Dongpu, https://www.dianping.com/shop/FmxdhlVwYlGqfU7g, Taste: 7.9 Environment: 8.0 Service: 8.0, Monday to Sunday 17:00- 01:00
Congratulations to Baiwei Fresh Sandwich (Jiangnanxi Store), 2349,30, Western fast food, Jiangnanxi, https://www.dianping.com/shop/FIRtSuhitqf0qzkU, Taste: 8.0 Environment: 7.5 Service: 8.2, Monday to Wednesday Sunday 10:00-22:00
Zhou Chengzhi Snail Noodles (Shiqiao Branch), 582,17, Porridge Noodles, Shiqiao, https://www.dianping.com/shop/laYQz6SqXAKGGCoO, Taste: 8.2 Environment: 8.3 Service: 8.3, Monday to Sunday 10: 30-24:00
Snails·Snail noodles·Duck feet and snails in pot (Kecun store), 736,33, Porridge noodles, Kecun/Chigang, https://www.dianping.com/shop/k2PQaPcck3imrsq8, Taste: 8.2 Environment: 7.7 Service: 8.0, Monday to Sunday 10:30-23:30
Baobao Sister Snail Noodles (Gaozhi Building Store), 270, 21, porridge noodles, Xingsheng Road/Horse Racecourse, https://www.dianping.com/shop/k9XrpHOzcfaNHZ7i, Taste: 8.0 Environment: 8.2 Service: 8.3, Monday to Sunday 10:00-21:00
Big Pigeon Rice (Gangding Branch), 5902,102, Cantonese Restaurant, Shipai/Longkou, https://www.dianping.com/shop/laN5y0xsTExvdWr6, Taste: 9.0 Environment: 9.0 Service: 9.0, Monday to Sunday 11 :00-14:3017:00-21:30
Feng Xiao Guan·Shunde Cuisine (Wanmin City Changlong First Store), 1907,80, Shunde Cuisine, Changlong/Nancun, https://www.dianping.com/shop/i5Q5j0hWsmo0qRsu, Taste: 9.1 Environment: 9.1 Service: 9.1 ,Monday to Sunday 11:00-14:0017:00-21:00
Wentong Ice Room (Huacheng Huinan District Store), 3116, 47, Tea Restaurant, Huachenghui/Amap Land, https://www.dianping.com/shop/H8kcODlFYo772Bct, Taste: 9.0 Environment: 8.9 Service: 9.0, Monday to Sunday 11:00-22:00
Bingge Pigeon·Shiqi Squab (Jiangnanxi store), 78,38, fast food, Jiangnanxi, https://www.dianping.com/shop/H82vV5sPCadvVkzZ, taste: 7.9 Environment: 7.7 Service: 7.9, Monday to Sunday 11:00-24:00
