店铺名称,评论数量,人均消费,主营菜系,地址,推荐菜系,详情链接,详情评分,电话,地址,店铺别名,营业时间
粤品悦潮(邮电大厦店),540 条评论,人均 ￥71,潮汕菜,中山二三路/东山口,推荐菜：、多味汁寸骨、客家菜、隔水蒸马冈鹅,https://www.dianping.com/shop/G3ItOSDtZsaKkKFl, 口味: 7.4  环境: 7.6  服务: 7.4  , 电话： 020-87781828 ？ 18928818912 , 中山二路18号邮电大厦2-4楼（取餐请到执信南路8号自编建设银行旁边） ,邮电大厦中餐厅, 周一至周日 08:00-14:00 17:00-21:00 
广州花园酒店·庭·日本餐厅,1275 条评论,人均 ￥231,日本料理,小北/淘金,推荐菜：、三文鱼刺身、?鱼刺身、酱烧银鳕鱼,https://www.dianping.com/shop/G7EEVLDaiZEnezPT, 口味: 7.7  环境: 8.2  服务: 7.9  , 电话： 020-83338989-3909 , 环市东路368号广州花园酒店1楼（近建设六马路） ,以前的茶吧, 周一至周日 11:30-14:30 17:30-22:00 
新疆伊斯坦美食城(石牌店),1897 条评论,人均 ￥92,西北民间菜,石牌/龙口,推荐菜：、大盘鸡、金牌烤羊肉串、羊肉串,https://www.dianping.com/shop/H2j8vX4hkkAPIPZ4, 口味: 8.5  环境: 8.6  服务: 8.4  , 电话： 020-37856299 ？ 020-37856599 , 天河北路617号鸿翔大厦3层 ,伊斯坦清真菜, 周一至周日 10:00-14:00 17:00-21:30 
羊之道蒙古味道(番禺店),3467 条评论,人均 ￥99,烤串,长隆/南村,推荐菜：、蒙古烤羊排、烤羊肉串、蒙古自制酸奶,https://www.dianping.com/shop/FYxEkfgIFgQH9XRL, 口味: 9.1  环境: 9.0  服务: 9.0  , 电话： 020-84776177 ？ 18529403737 , 兴南大道183号富洲中心 ,羊之道西部美食城, 周一至周日 11:00-14:00 17:00-22:00 
到咱家东北菜(芳村店),120 条评论,人均 ￥54,东北菜,芳村,推荐菜：、锅包肉、韭菜猪肉饺子、京酱肉丝,https://www.dianping.com/shop/l5bgUUGnFCb14ifP, 口味: 7.5  环境: 7.1  服务: 7.4  , 电话： 020-81508586 , 花地街道中市外约新街九巷3号之一102房 ,雪川饺子馆, 周一至周日 10:00-02:00 
轩之本膳料理预订,1786 条评论,人均 ￥96,日本料理,市桥,推荐菜：、三文鱼、北海道蟹棒、全寿司船,https://www.dianping.com/shop/l8gp0bbIXAUb32id, 口味: 8.4  环境: 8.4  服务: 8.3  , 电话： 18022399972 , 富华东路338号番安商贸城五座1号铺 ,轩之寿司料理, 春季、秋季、冬季 周一至周日 11:00-13:00 16:00-18:00 
Next Cake励事烘焙·生日蛋糕(体育西路店),993 条评论,人均 ￥221,面包烘焙,天河城/体育中心,推荐菜：、招牌红丝绒裸蛋糕、酸奶慕斯蛋糕、d24榴莲裸蛋糕,https://www.dianping.com/shop/H7Vnoy1uLl1jbJQb, 口味: 9.0  环境: 8.6  服务: 9.0  , 电话： 020-29887081 ？ 18613019990 , 体育西路育蕾三街4号104铺 ,心水蛋糕甜品, 周一至周日 10:00-19:30 
新一家农家菜(华景新城店),389 条评论,人均 ￥89,江西菜,天河公园/上社,推荐菜：、家乡炒米粉、客家香煎豆腐煲、吉安炒米粉,https://www.dianping.com/shop/l2dw872D0tpLhMFl, 口味: 7.4  环境: 7.1  服务: 7.2  , 电话： 020-38795449 , 华景新城华景路180号会所首层 ,新一家农家菜, 周一至周日 09:30-22:00 
鸭五件私房菜(海南连生坊店),1820 条评论,人均 ￥91,私房菜,荔湾区,推荐菜：、鸭五件、神仙豆腐、酸笋田螺煲,https://www.dianping.com/shop/H72IHSPXwByAZauh, 口味: 8.4  环境: 7.5  服务: 7.9  , 电话： 19866060134 ？ 13826010134 , 连生涌街连生坊45号 ,欣庐, 周一至周日 11:00-14:30 17:00-21:30 
北方家宴(南沙大岗店),399 条评论,人均 ￥63,东北菜,大岗,推荐菜：、东北酱大骨、卷心菜鲜肉煎饺、松子酸甜菊花鱼,https://www.dianping.com/shop/kaHD5C8Gm4uZE8wI, 口味: 8.4  环境: 8.3  服务: 8.3  , 电话： 020-34980288 , 兴业路70号 ,小天鹅饺子馆," 周六,周日 11:00-14:30 17:00-21:30 周一至周五 11:00-14:00 17:00-21:30 "
北方家宴(洛溪店),1473 条评论,人均 ￥73,东北菜,洛溪,推荐菜：、东北酱大骨、松子酸甜菊花鱼、玉米鲜肉水饺,https://www.dianping.com/shop/k2vuelOIcPxOXNDQ, 口味: 8.5  环境: 8.4  服务: 8.3  , 电话： 020-84590769 , 北环路洛溪食街C1-5号 ,小天鹅饺子馆, 周一至周日 11:00-14:30 17:00-21:30 
北方家宴(祈福店),1403 条评论,人均 ￥73,东北菜,钟村,推荐菜：、东北酱大骨、羊肉串、卷心菜鲜肉水饺,https://www.dianping.com/shop/G16jWlc1KFYY1O7t, 口味: 8.2  环境: 8.6  服务: 8.2  , 电话： 020-31074265 , 祈福名家七街50号 ,小天鹅饺子馆," 周一至周五 11:00-14:30 17:00-21:00 周六,周日 11:00-15:00 17:00-21:00 "
北方家宴(优托邦科学大道店),1964 条评论,人均 ￥75,东北菜,科学城/萝岗高德汇,,https://www.dianping.com/shop/Enxtam2QoIxTDc7w, 口味: 8.7  环境: 8.8  服务: 8.7  , 电话： 020-32219018 , 科学大道196号优托邦A座4层（近三星大厦） ,小天鹅饺子馆," 周六,周日 11:00-14:30 17:00-21:30 周一至周五 11:00-14:00 17:00-21:30 "
北方家宴(祈福店),1402 条评论,人均 ￥73,东北菜,钟村,推荐菜：、东北酱大骨、羊肉串、卷心菜鲜肉水饺,https://www.dianping.com/shop/G16jWlc1KFYY1O7t, 口味: 8.2  环境: 8.6  服务: 8.2  , 电话： 020-31074265 , 祈福名家七街50号 ,小天鹅饺子馆," 周一至周五 11:00-14:30 17:00-21:00 周六,周日 11:00-15:00 17:00-21:00 "
北方家宴(南沙大岗店),399 条评论,人均 ￥64,东北菜,大岗,推荐菜：、东北酱大骨、卷心菜鲜肉煎饺、松子酸甜菊花鱼,https://www.dianping.com/shop/kaHD5C8Gm4uZE8wI, 口味: 8.4  环境: 8.3  服务: 8.3  , 电话： 020-34980288 , 兴业路70号 ,小天鹅饺子馆," 周六,周日 11:00-14:30 17:00-21:30 周一至周五 11:00-14:00 17:00-21:30 "
北方家宴(优托邦科学大道店),1964 条评论,人均 ￥75,东北菜,科学城/萝岗高德汇,推荐菜：、东北酱大骨、北京烤鸭、锅包肉,https://www.dianping.com/shop/Enxtam2QoIxTDc7w, 口味: 8.7  环境: 8.8  服务: 8.7  , 电话： 020-32219018 , 科学大道196号优托邦A座4层（近三星大厦） ,小天鹅饺子馆," 周六,周日 11:00-14:30 17:00-21:30 周一至周五 11:00-14:00 17:00-21:30 "
北方家宴(番禺永旺店),3333 条评论,人均 ￥72,东北菜,番禺广场,推荐菜：、东北酱大骨、好吃不过饺子、北京烤鸭,https://www.dianping.com/shop/k3hOce2VTku2c02k, 口味: 8.2  环境: 8.7  服务: 8.2  , 电话： 020-23331891 , 亚运大道1号永旺梦乐城5层5001号 ,小天鹅饺子馆," 周六,周日 11:00-14:30 17:00-21:30 周一至周五 11:00-14:00 17:00-21:30 "
北方家宴(番禺永旺店),3334 条评论,人均 ￥72,东北菜,番禺广场,推荐菜：、东北酱大骨、好吃不过饺子、北京烤鸭,https://www.dianping.com/shop/k3hOce2VTku2c02k, 口味: 8.2  环境: 8.7  服务: 8.2  , 电话： 020-23331891 , 亚运大道1号永旺梦乐城5层5001号 ,小天鹅饺子馆," 周六,周日 11:00-14:30 17:00-21:30 周一至周五 11:00-14:00 17:00-21:30 "
小时候第一小学(时尚天河商业广场店),457 条评论,人均 ￥25,零食,时尚天河,推荐菜：、咪咪虾条、香菇肥牛、麦丽素,https://www.dianping.com/shop/G214YR4o3jdyhXIL, 口味: 7.7  环境: 7.9  服务: 7.6  , 电话： 4000987645 , 天河路299号时尚天河商业广场东一街B1层 ,小时候一小, 周五至周日 10:00-22:00 周一至周四 10:00-21:30 
小时候第一小学(时尚天河商业广场店),457 条评论,人均 ￥25,零食,时尚天河,,https://www.dianping.com/shop/G214YR4o3jdyhXIL, 口味: 7.7  环境: 7.9  服务: 7.6  , 电话： 4000987645 , 天河路299号时尚天河商业广场东一街B1层 ,小时候一小, 周五至周日 10:00-22:00 周一至周四 10:00-21:30 
一起吃小龙虾(五号停机坪店),800 条评论,人均 ￥80,小龙虾,五号停机坪,推荐菜：、油焖可爱小龙虾、秘制毛豆、招牌小龙虾,https://www.dianping.com/shop/kak49qfPG8oMn2MW, 口味: 7.9  环境: 7.6  服务: 8.1  , 电话： 15626159921 , 云霄路五号停机坪风车广场24号 ,小龙虾可堂食外送, 周一至周日 16:30-24:00 00:00-02:30 
一起吃小龙虾·海鲜(市桥店),863 条评论,人均 ￥101,小龙虾,市桥,推荐菜：、油焖可爱小龙虾、秘制毛豆、蒜蓉招牌小龙虾,https://www.dianping.com/shop/k3yPUfJk3ZpqxWLA, 口味: 9.0  环境: 8.4  服务: 9.0  , 电话： 18028513613 ？ 18926119622 , 富华东路296号110室 ,小龙虾可堂食外送, 周一至周日 11:00-02:30 
一起吃小龙虾·海鲜(万博店),2413 条评论,人均 ￥128,小龙虾,长隆/南村,推荐菜：、招牌小龙虾、飘香拌粉、秘制毛豆,https://www.dianping.com/shop/k4uXPt8CxcrWU9MG, 口味: 9.0  环境: 8.5  服务: 8.9  , 电话： 020-84564497 ？ 19966256362 , 番禺大道北万博中心商业街192号 ,小龙虾可堂食外送, 周一至周日 10:00-24:00 00:00-03:00 
一起吃小龙虾·海鲜(洛溪新城店),309 条评论,人均 ￥94,小龙虾,洛溪,推荐菜：、秘制毛豆、吃椒盐小龙虾、油焖可爱小龙虾,https://www.dianping.com/shop/la1wgpsZ3nXugRo7, 口味: 8.4  环境: 7.9  服务: 8.5  , 电话： 13527603258 , 洛浦街洛溪新城彩虹花园西区5幢55号铺 ,小龙虾可堂食外送, 周一至周日 11:00-02:00 
一起吃小龙虾·海鲜(洛溪新城店),309 条评论,人均 ￥94,小龙虾,洛溪,,https://www.dianping.com/shop/la1wgpsZ3nXugRo7, 口味: 8.4  环境: 7.9  服务: 8.5  , 电话： 13527603258 , 洛浦街洛溪新城彩虹花园西区5幢55号铺 ,小龙虾可堂食外送, 周一至周日 11:00-02:00 
一起吃小龙虾·海鲜(万博店),2412 条评论,人均 ￥128,小龙虾,长隆/南村,推荐菜：、招牌小龙虾、飘香拌粉、秘制毛豆,https://www.dianping.com/shop/k4uXPt8CxcrWU9MG, 口味: 9.0  环境: 8.5  服务: 8.9  , 电话： 020-84564497 ？ 19966256362 , 番禺大道北万博中心商业街192号 ,小龙虾可堂食外送, 周一至周日 10:00-24:00 00:00-03:00 
一起吃小龙虾·海鲜(岗顶店),1375 条评论,人均 ￥104,海鲜,岗顶/龙口,推荐菜：、招牌小龙虾、秘制毛豆、拌粉,https://www.dianping.com/shop/G6AgAegjsCpNsMMN, 口味: 8.9  环境: 8.3  服务: 8.8  , 电话： 18944907822 , 龙口西路16号 ,小龙虾可堂食外送, 周一至周日 11:00-03:00 
一起吃小龙虾·海鲜(海珠店),886 条评论,人均 ￥104,小龙虾,滨江路沿线,推荐菜：、招牌小龙虾、油焖可爱小龙虾、秘制毛豆,https://www.dianping.com/shop/jodMg2BmCKZCtYgR, 口味: 8.9  环境: 8.5  服务: 9.1  , 电话： 18316602288 , 滨江街道纺织路草芳横一街6号之六自编105号（中海名都西门） ,小龙虾可堂食外送, 周一至周日 11:00-02:00 
云水谣休闲农庄,390 条评论,人均 ￥79,湘菜,番禺区,推荐菜：、海皇干捞粉丝、湖南土腊肉、生炒土猪肉,https://www.dianping.com/shop/l84NvD4AQ5Ahvq9K, 口味: 7.3  环境: 7.7  服务: 7.4  , 电话： 13928884191 , 市新路4号（仙施大厦旁） ,乡村农庄, 周一至周日 10:30-21:30 
红福宴湘赣菜(荔新店),677 条评论,人均 ￥82,江西菜,新塘,推荐菜：、江西炒米粉、莲花血鸭、粉笼床,https://www.dianping.com/shop/G4IxLI9xVfyENr9O, 口味: 8.8  环境: 8.8  服务: 8.8  , 电话： 020-29061168 , 荔新十三路114号（广州聚福大酒店旁） ,湘赣部," 周一至周五 10:30-14:30 16:30-21:00 周六,周日 10:30-21:00 2023-09-29至2023-... "
伯顿西餐·火焰牛排(金福星广场店),2970 条评论,人均 ￥76,西餐,新塘广场,推荐菜：、火焰牛魔王、霹雳拍啦牛小排、鲜果沙律,https://www.dianping.com/shop/H4AVZWsRF3PF7UG3, 口味: 9.0  环境: 9.1  服务: 9.1  , 电话： 020-82688663 , 新塘镇新塘大道中88号金福星广场2楼（新塘少年宫旁） ,香丽园西餐厅, 周一至周日 11:00-22:00 
高庄私房菜,198 条评论,人均 ￥155,私房菜,番禺区,,https://www.dianping.com/shop/G816bw8oo0JtD2FP, 口味: 7.3  环境: 7.1  服务: 7.1  , 电话： 020-34554022 , 金山村高地庄上街腾御木制品有限公司东北60米 ,香港大喜庆鱼翅酒家, 周一至周日 11:30-14:00 18:00-21:30 
高庄私房菜,198 条评论,人均 ￥155,私房菜,番禺区,推荐菜：、素烧鹅、泸州老窖黑盖、松露酱虾多士,https://www.dianping.com/shop/G816bw8oo0JtD2FP, 口味: 7.3  环境: 7.1  服务: 7.1  , 电话： 020-34554022 , 金山村高地庄上街腾御木制品有限公司东北60米 ,香港大喜庆鱼翅酒家, 周一至周日 11:30-14:00 18:00-21:30 
喜来潮家海鲜砂锅粥(同和店),314 条评论,人均 ￥78,潮汕菜,同和/京溪,推荐菜：、虾蟹砂锅粥、姜葱炒花甲、炒时蔬,https://www.dianping.com/shop/k23ez8HCood62z3P, 口味: 7.1  环境: 6.8  服务: 7.0  , 电话： 15521218003 , 广州大道北同和地铁D出口旁 ,喜来潮家牛肉火锅, 周一至周日 17:30-04:00 
西贝莜面村(正佳店),24792 条评论,人均 ￥93,西北民间菜,天河城/体育中心,推荐菜：、烤羊肉串、西贝面筋、草原酸奶,https://www.dianping.com/shop/l6i62DxGOlANmNDQ, 口味: 8.9  环境: 8.8  服务: 9.0  , 电话： 4008207320 ？ 17620936956 , 天河路228号正佳广场六楼中庭6C057b号 ,西贝西北菜, 周一至周日 10:30-21:30 
西贝莜面村(万国广场店),6973 条评论,人均 ￥86,西北民间菜,江南大道沿线,推荐菜：、西贝面筋、烤羊肉串、草原酸奶,https://www.dianping.com/shop/G8SBfh9l03CmKyzZ, 口味: 9.0  环境: 9.0  服务: 9.1  , 电话： 4008207320 ？ 19988285658 , 前进路40号万国广场6楼613铺 ,西贝西北菜, 周一至周日 10:30-21:30 
西贝莜面村(凯德广场·云尚店),6036 条评论,人均 ￥85,西北民间菜,白云绿地中心,推荐菜：、西贝面筋、烤羊肉串、草原酸奶,https://www.dianping.com/shop/k4O6lFXql7MNPjfv, 口味: 9.0  环境: 9.0  服务: 9.1  , 电话： 4008207320 ？ 13539881595 , 云城西路890号凯德广场·云尚L4-01铺 ,西贝西北菜, 周一至周日 10:30-21:30 
和府捞面(正佳广场店),2358 条评论,人均 ￥40,面馆,天河城/体育中心,推荐菜：、草本酸辣汤肥牛面、草本番茄汤猪软骨面、番茄香草汤猪软骨面,https://www.dianping.com/shop/k2fBrMa32WjfC1HV, 口味: 8.9  环境: 9.0  服务: 9.0  , 电话： 18027474809 ？ 4001616777 ," 天河路228号正佳广场负一层（近百佳出口,近西门） ",无, 周一至周日 10:00-21:30 
陳香貴·蘭州牛肉面(天河领展广场店),2289 条评论,人均 ￥29,面馆,兴盛路/跑马场,推荐菜：、牛骨清汤兰州牛肉面、红枣茶、钢钎羊肉,https://www.dianping.com/shop/H3EWpr3vIS7FJE5D, 口味: 8.9  环境: 8.8  服务: 8.8  , 电话： 18102846525 , 马场路36号太阳新天地商场负一楼B131-B132号 ,无, 周一至周日 10:00-21:30 
麦当劳(雄峰商城店),378 条评论,人均 ￥26,西式快餐,钟村,推荐菜：、薯条、原味板烧鸡腿堡、原味甜筒,https://www.dianping.com/shop/H1D2L51iCsG1wMsk, 口味: 8.7  环境: 8.7  服务: 8.7  , 电话： 020-84787831 , 105国道雄峰商城B1馆1层 ,无, 周一至周日 07:00-23:00 
真功夫(新市机场店),334 条评论,人均 ￥26,快餐简餐,机场路沿线,推荐菜：、冬菇鸡腿肉饭、排骨拼鸡腿肉饭、酸菜瘦肉粉,https://www.dianping.com/shop/G1GJ83utDFk8X63x, 口味: 8.6  环境: 8.6  服务: 8.6  , 电话： 13922134218 , 机场路1141号首层101-102 ,无, 周一至周日 07:00-21:00 
烹湘·鲜炒湖南土菜(兴业大道店),427 条评论,人均 ￥67,湘菜,长隆/南村,推荐菜：、茶油炒黄牛肉、经典长沙小炒肉、十年锅仔鱿鱼,https://www.dianping.com/shop/EXwujqMLJeEzpDZv, 口味: 8.7  环境: 8.7  服务: 8.6  , 电话： 020-31100010 ？ 19396883860 , 兴业大道1166-1号铺 ,无, 周一至周日 10:30-22:00 
BURGER BAR 汉堡吧·西餐(体育西路店),3546 条评论,人均 ￥83,西餐,天河城/体育中心,推荐菜：、经典牛肉汉堡、粗薯条、瀑布芝士汉堡,https://www.dianping.com/shop/l4tZynQCYZlu7Jqn, 口味: 8.7  环境: 8.8  服务: 8.7  , 电话： 18902235807 , 黄埔大道西107号（人民日报广州分社公交站） ,无," 周五,周六 11:30-21:30 周一至周四,周日 11:30-21:00 2023-09-28至2023-10-05 1... "
和府捞面(融创茂店),1024 条评论,人均 ￥40,粥粉面,融创茂,推荐菜：、草本酸辣汤肥牛面、厨神台式牛肉面、草本番茄汤肥牛面,https://www.dianping.com/shop/l2icQlQz5tRg4YyT, 口味: 8.7  环境: 8.8  服务: 8.8  , 电话： 18928030974 , 凤凰北路63号融创茂3068号铺 ,无, 周一至周日 10:00-21:30 
阿婆牛杂·非遗小吃(天河南一路店),600 条评论,人均 ￥21,牛杂,天河城/体育西,推荐菜：、阿婆牛杂、咖喱鱼丸、秘制净牛杂,https://www.dianping.com/shop/k7oydLCeG7lqe1GM, 口味: 8.5  环境: 8.3  服务: 8.5  , 电话： 18520337574 ？ 18520332231 , 天河南一路44号101铺 ,无, 周一至周日 10:30-21:30 
和府捞面(凯德广场云尚店),613 条评论,人均 ￥37,面馆,凯德广场,推荐菜：、草本番茄汤肥牛面、大师溏心蛋、草本番茄汤猪软骨面,https://www.dianping.com/shop/FFTzcWq6ApWnHTpJ, 口味: 8.5  环境: 8.6  服务: 8.6  , 电话： 18262500980 , 云城西路890号负二层B2-09/10铺 ,无, 周一至周日 10:00-21:00 
三两粉(凯德广场店),608 条评论,人均 ￥25,粥粉面,凯德广场,推荐菜：、老长沙手工土猪肉粉、臭豆腐、湖南人的牛肉饼,https://www.dianping.com/shop/G5RaFgrIKwhPkajT, 口味: 8.5  环境: 8.6  服务: 8.6  , 电话： 19924380942 , 云城西路890号凯德广场云尚负一楼b1-15号（近绿地中心） ,无, 周一至周日 09:30-21:30 
三两粉(百信广场店),608 条评论,人均 ￥24,粥粉面,百信广场,推荐菜：、老长沙手工土猪肉、老长沙臭豆腐、老长沙肉末拌粉,https://www.dianping.com/shop/l2T6caFZtLvndeQB, 口味: 8.6  环境: 8.5  服务: 8.5  , 电话： 19002091337 ," 棠乐路1,3,5,7号百信广场B2层XB1023号 ",无, 周一至周日 10:00-22:00 
阿婆牛杂·非遗小吃(天德店),150 条评论,人均 ￥24,牛杂,兴盛路/猎德,,https://www.dianping.com/shop/iUOTQwrx63rio4jI, 口味: 8.5  环境: 8.4  服务: 8.5  , 电话： 18520337574 , 临江大道391-395号全家门口 ,无, 周一至周日 10:00-23:00 
味千拉面(广州金沙永旺梦乐城店),839 条评论,人均 ￥41,日式面条,罗冲围/金沙洲,推荐菜：、大骨浓汤猪软骨拉面、熊本叉烧拉面、骨汤番茄肥牛拉面,https://www.dianping.com/shop/kaHE5owYZaok231G, 口味: 8.6  环境: 8.6  服务: 8.3  , 电话： 18889272427 , 沙凤三路1号金沙永旺梦乐城4楼410铺 ,无, 周一至周日 10:00-21:00 
麦当劳(开萝大道店),502 条评论,人均 ￥21,西式快餐,中心城,推荐菜：、薯条、麦辣鸡翅、原味板烧鸡腿堡,https://www.dianping.com/shop/l1uDHQ2U2017eIwG, 口味: 8.6  环境: 8.5  服务: 8.5  , 电话： 020-89856424 , 开萝大道2号锐丰中心3栋底商112-114房 ,无, 周一至周日 07:00-23:00 
汉堡王(迎宾大道分店),166 条评论,人均 ￥25,西式快餐,花都广场/区政府,推荐菜：、薯霸王、王道椒香鸡腿、辣气皇堡,https://www.dianping.com/shop/H98sdDszNYH0ghLe, 口味: 8.5  环境: 8.4  服务: 8.4  , 电话： 13149393100 , 迎宾大道66号正盛商务大厦一层A13号商铺 ,无, 周一至周日 08:00-22:00 
八重胜·炸猪排·定食(富力海珠城店),227 条评论,人均 ￥40,快餐简餐,江南大道沿线,推荐菜：、台式照烧猪排、泰式酸辣猪排、咖喱猪排,https://www.dianping.com/shop/l29BxtcJeAYERZR3, 口味: 8.3  环境: 8.1  服务: 8.4  , 电话： 19065255944 , 富力海珠城A区5楼 ,无," 周一至周五 11:00-14:00 17:00-21:00 周六,周日 11:00-21:00 "
