Store name, number of reviews, consumption, main cuisine, address, detail link, business hours,Taste,Environment,Service
Mapu Carbon Barbecue (Wuyangcun Store),3080,101, Korean Barbecue, Wuyang New City, https://www.dianping.com/shop/E2sgraVOttceil9e, Monday to Sunday Thursday 11:00-14:30 17:00-22:00 Friday to Sunday 11:00-22:00,9,8.8,9
Feiyan Vietnamese rolled noodles,301,14, Vietnamese cuisine, Chepi/Dongpu, https://www.dianping.com/shop/E2TKGJYjZWGXSUJk, Monday to Sunday 11:00 -14:0016:30-21:00,8.3,7.5,8.3
Taigong Fish Meal (Longdong Store),496,13, Snacks, Longdong/Cencun, https://www.dianping.com/shop/E2wI9nk0czjbaYHj, Monday to Sunday 10:30- 24:00,7.6,7.3,7.5
Shanqian YouyuGuizhou Snack Collection (Tangdong BRT Store),89,19, Guizhou Cuisine | Guizhou Cuisine, Tangxia, https://www.dianping.com/shop/E3CuWKEF4vIykAcO, Monday to Sunday 10:00-23:00,7.9,7.5,7.7
Guangdong Sheraton Hotel Caiyuexuan Chinese Restaurant (Teem City Branch),4691,203, Cantonese Restaurant, Teem City/Sports Center, https://www.dianping.com/shop/E3gSM7lC9EqgbAJz, Monday to Sunday 10:00-14:3017:30-22:00,8.7,9.1,8.8
3R TentHot Pot Barbecue Bar (University Town Branch),27,61, Fusion Barbeque, Panyu District, https://www.dianping.com/shop/E3Lw77h2U0DLsJKR, Monday to Sunday 16:00-01:00,7,7,7
Li Shanghuang (Tang De South Road Store),178,13, chestnuts/dried fruits, Tangxia, https://www.dianping.com/shop/E3uEJ0pczvRTvMWN, Monday to Sunday 10: 00-22:00,7.6,7.6,7.5
Jinchuan BraisedChengdu ImpressionMaocai Chuan Chuan (Longdong Branch),312,43, Chuan Chuan Xiang, Longdong/Cencun, https://www.dianping.com/shop/E4CqnE7WrMgVl87G,Monday to Sunday 10:00-14:0016:30-24:00,9,9,9.1
Baiguoyuan (Guangzhou Dashatou Sanma Road Store),153,17, Fruit Shop, Yanjiang Road/Ersha Island, https://www.dianping.com/shop/E4jg2Q8AXBUMpphI, Monday to Sunday 08:00-23:30,7.4,7.4,7.4
Taigenbao Rice PorridgePorridge Hot Pot (Liede Branch),7218,161, Shunde Cuisine, Xingsheng Road/Horse Racecourse, https://www.dianping.com/shop/E4MePt2awnaZA8zc, Monday to Sunday 11:00-14:0017:30-21:00,8.7,8.8,8.2
Panda's Birthday Cake (Guangzhou store),288,130, bread baking, along Industrial Avenue, https://www.dianping.com/shop/E4OUF8ysJqcs5ZIv, Monday to Sunday 07:30 -23:30,7.8,7.9,8
Niaotong,108,183, Japanese cuisine, Tianhe North/Guangzhou East Railway Station, https://www.dianping.com/shop/E4PosWW0EsbaxkBM, Monday to Sunday 17:30-02:00,8.5,7.9,8.2
Wooden House BBQ (Panyu Wanda Branch),1669,92, Kebabs, Chimelong/Nancun, https://www.dianping.com/shop/E58jsuHjFyHvRUsy, All day from Monday to Sunday,8.8,8.8,8.8
SanclubOyster BBQ Craft Beer,14,90, fusion barbecue, Huadu Stadium/Huaguoshan Park, https://www.dianping.com/shop/E5bBmaYEeACgt8i3, Monday to Sunday 18:00-02:00,7.1,7.1,7.1
Zhou Rong Liang Tang Tea Restaurant,20,31, Tea Restaurant, Summer Garden, https://www.dianping.com/shop/E5YMXE98ncCB7hDP, Monday to Sunday 10:00-16: 0016:30-21:00,7.3,7.1,6.9
GuangdongXiangqun Restaurant (the third store directly operated by Chengguanghui),10671,96, Guangzhou cuisine, Zhongshan Qiba Road, https://www.dianping.com/shop/E5Z56nUQwvdAnV1W, Monday to Sunday 11:00-14:30 17:00-21:30,8.9,8.8,8.6
Luotai Er Snail Noodles (Shigang Branch),112,15, porridge noodles, Panyu Square, https://www.dianping.com/shop/E68xhTvNMdkFJzSC, all day from Monday to Sunday,8,8,8
Junwa Beef Xiaoliu Liuzhou Fresh Beef Offal Hot Pot (Dongfang International Store),547,103, Hot Pot, Tangxia, https://www.dianping.com/shop/E6adJ1bWfrCbkvMv, Monday to Sunday 11:00-14:0017:00-01:00,8.7,8.1,8.3
Bird WushuangYAKITORI-Yakitorii Restaurant (Xinghuan Branch),306,124, Japanese cuisine, Haizhu Plaza, https://www.dianping.com/shop/E6ecUqhhRuO7Zmep, Monday to Sunday 11:00-14:0017:00-22:00,9.1,9.1,9.2
Jintang Seafood Restaurant (Qifu Road Branch),2870,76, seafood, Xinshi, https://www.dianping.com/shop/E6hXjw6WLmjdF6vi, Monday to Sunday 07: 30-14:3017:00-21:30,8.4,8.3,7.8
Longmen Grilled Fish (Huatong Plaza Store),704,72, Grilled Fish, Jiahe/Renhe, https://www.dianping.com/shop/E6oyskREW4buorrR, Monday to Sunday 10:30-21:30,8.9,8.8,8.5
Bai Shuishan (sashimi shop),149,210, Japanese cuisine, Zhengjia Plaza, https://www.dianping.com/shop/E6SrSxOW26M69WEK, Tuesday to Sunday 11:30-14: 0017:30-21:30,9.2,8.8,9.2
Huangshagang Tanglu (Jiangxia store),156,56, charcoal hot pot/copper pot, Huangshi, https://www.dianping.com/shop/E7rEUzwANzmSTAH1, Monday to Sunday 17:00 00-03:00,8.2,8.2,8.3
Shifangyuan Food Nutrition Center (Wuyang Villa Store),2380,117, Vegetarian, Zhujiang New Town, https://www.dianping.com/shop/E80f9rS06q5mXRik, Monday to Sunday 09:30-14:0016:30-21:00,8.2,8.8,8.4
Shifangyuan Food Nutrition Center (Wuyang Villa Store),2380,117, Vegetarian, Zhujiang New Town, https://www.dianping.com/shop/E80f9rS06q5mXRik, Monday to Sunday 09:30-14:0016:30-21:00,8.2,8.8,8.4
Make a wish? Cake (Zengcheng Donghuicheng Store),578,27, Bread Baking, Licheng, https://www.dianping.com/shop/E85UjBtEacdQRwb6, Monday to Sunday 08:00-23:00,8.3,8.5,8.3
Northeast Jufuyuan (Xiajiao store),366,41, Northeastern cuisine, Xiajiao, https://www.dianping.com/shop/E8Fy2wLLXfVSLA6T, Monday to Sunday 11: 30-14:0017:00-03:00,8.3,7.7,8.4
Tea Baidao (Zhitai Plaza Store),90,14, tea juice, Central City, https://www.dianping.com/shop/E8hsfQ3GcXoXfbFX, Monday to Sunday 10: 00-22:00,7.9,7.9,8
RuxuanSeafood Casserole PorridgeChaoshan Cuisine (Pazhou Branch),2141,87, Cantonese Restaurant, Pazhou, https://www.dianping.com/shop/E8hYloBgFIUOFlPo, Monday to Sunday 09:00-02:00,9.1,9,9
MStand (Gaode Land Xia Plaza Store),325,33, cafe, Huachenghui/Gaode Land, https://www.dianping.com/shop/E8Mjg8I70jb6DYvr, Saturday Sunday 09:30-20:30 Monday to Friday 07:30-20:30,8.4,8.4,8.3
Zunbao Pizza (Qianqian Road Store),203,26, pizza, along Binjiang Road, https://www.dianping.com/shop/E90R2E98bhJxU4qA, Friday and Saturday 09:00 -23:00 Monday to Thursday Sunday 09:00-22:00,8.8,8.7,8.4
Lao ShaanYuan Jiashi,19,31, Northwest folk cuisine, Zhongcun, https://www.dianping.com/shop/E9FDJ5fAVVF2NToo, Monday to Sunday 09:00-21: 00,7.4,7.3,7.5
Xingfu Guan Baking (Dongxiao South Store),164,29, bread baking, along Dongxiao South Road, https://www.dianping.com/shop/E9nau2ChO6Y5kgEJ, Monday to Sunday 10:00-17:00,8,7.8,8.2
ThaiAlley (Sihai City Store),3251,119, Thai food, Chimelong/Nancun, https://www.dianping.com/shop/E9q0J1AB9Cu0xMDt, Monday to Sunday 11:00-14:3017:00-21:30,8.9,9,9
9890 BBQ Beer House (Dongfanghui Branch),573,102, Grilled Skewers, Shangxiajiu Commercial District, https://www.dianping.com/shop/Ea7dJqIXzGbgTDTm, Monday to Sunday 17:00 00-03:00,8.3,8.5,8.5
Qixiangyi Jintang Snail Noodles (Tangdong Branch),57,14, porridge noodles, Tangxia, https://www.dianping.com/shop/EAMOYlAUBZoUU58e, Monday to Sunday 10:30-02:00,7,7,7.2
White Rabbit Miaomei Candy House (Tianhe Youyicheng store),150,11, snacks, Teem City/Tiyuxi, https://www.dianping.com/shop/EAvd9irixhsFLWqa, Monday to Sunday 09:00-22:00,7.5,7.6,7.5
White Rabbit Miaomei Candy House (Tianhe Youyicheng store),150,11, snacks, Teem City/Tiyuxi, https://www.dianping.com/shop/EAvd9irixhsFLWqa, Monday to Sunday 09:00-22:00,7.5,7.6,7.5
Ming Daming Garden,249,150, Private Kitchen, Shiqiao South, https://www.dianping.com/shop/EBao6OJDOR8EU2BX, Monday to Sunday 08:00-14:3017:30 -21:30,8.5,8.6,8.2
Lao Guojia Snail NoodlesDuck Claw Snail Pot (Huifeng Aquatic Products Store),288,30, Porridge Noodles, Laiyoula/RT-Mart, https://www.dianping.com/shop/EBaPw7YyEicQbs53, Monday to Sunday 11:00-01:00,7.9,7.8,7.8
Laiba??????Tom Yum Southeast Asian Restaurant,193,45, Southeast Asian cuisine, along Airport Road, https://www.dianping.com/shop/EbDYilGLXj1c5VLW, Monday to Sunday 11:30-22:00,9.1,8.8,9.1
milkplusThai milk tea (Jiaochang East Road store),2978,24, tea juice, Zhongshan Ersan Road/Dongshankou, https://www.dianping.com/shop/EBFytj5XHPkDoGNE, Monday to Sunday 10:00-22:00,8.5,8.5,8.7
Naixue's Tea (Luogang Zhitai Plaza PRO Store),910,21, tea and juice, Central City, https://www.dianping.com/shop/EBOkmKVkluox401w, Monday to Friday 08:00-21:00,8.9,9,8.8
Luoluo Dafang Snail Noodles (Beijing Road Store),189,17, porridge noodles, Beijing Road Commercial District, https://www.dianping.com/shop/EBroXEBf0cjv5XFA, Monday to Sunday 11:00-23:00,7.9,7.9,7.8
GutianjuSpecial Sushi Cuisine (Zengcheng Wanda Plaza Store),2965,124, Japanese cuisine, Wanda Plaza, https://www.dianping.com/shop/EBSe9UDR3PQOcuM5, Monday to Sunday Friday 11:30-14:0017:00-22:00Saturday and Sunday 11:30-16:0017:00-22:00,8.9,8.7,8.5
A Cup of Tea (Qiaodong Branch),123,29, Tea Restaurant, Fangcun, https://www.dianping.com/shop/EBwPzRAE4qbrsTmb, Monday to Sunday 11:00 -23:30,7.7,7.6,7.7
Liaoji Ramen Shop (Xicun Courtyard Store),94,15, Noodle Shop, Xicun/Xichang, https://www.dianping.com/shop/EC5zdDzCVWVvXup3, Monday to Sunday 06:00-01:30,7.2,6.9,7
Yuanhua Tea DinnerGujing Roast Goose (Dongzhao Branch),196,33, Tea Restaurant, Fangcun, https://www.dianping.com/shop/ECCDDtaoJnFyU1ba, Monday to Sunday 09:00-20:30,7.4,7.4,7.4
Jiang Yuer Pickled Fish (Jieden Metropolis Store),1227,71, pickled fish/boiled fish, Beijing Road Commercial District, https://www.dianping.com/shop/ECJU0YiYBq2byXyk, Monday to Sunday 11:00-21:00,7.9,8,8.1
Jilao Private Kitchen,28,53, Private Kitchen, Huangpu District, https://www.dianping.com/shop/EckBBgurKd8stXLK, Monday to Sunday 10:00-22:00,7.4,7.2,7.4
Paipano Popcorn (Poly Plaza Store),88,27, Snacks, Pazhou, https://www.dianping.com/shop/ECM2R1d8W1NEi6MI, Monday to Sunday 10:00 -22:00,8,8,8.1
Owl Republic of China Western-style Caf茅 Simple Meal,3691,91, Western food, Zhongshan Ersan Road/Dongshankou, https://www.dianping.com/shop/EctmxiSwojoaCt3H, Monday to Sunday 10:00-22:00,7.7,8.7,8.2
Mrs. CoconutHealthy Coconut Chicken (Huangpu Times City Store),1151,89, Hotpot, East District of Development Zone, https://www.dianping.com/shop/ECVlxJdLcfsmWSxk, Monday to Sunday Sunday 10:00-22:00,9,9,8.9
Changyu Big Bowl Noodles (Panfu Road Store),56,21, Noodle House, Dongfeng Middle Road/Yuexiu Park, https://www.dianping.com/shop/EcYtfDRQTrEFoxpl, Monday to Sunday 08:00-22:00,7.1,7.2,7.3
Baiguoyuan (Zhongjian Haoting Branch),69,21, fruit shop, Licheng, https://www.dianping.com/shop/Edd4WqHEJMqGqVEj, Monday to Sunday 08:00 -23:30,7.4,7.4,7.3
Harbin Sauce Bone Restaurant (Shiqiao Branch),53,51, Northeastern Cuisine, Shiqiao, https://www.dianping.com/shop/EdiyaFLOC44Iemkr, Monday to Sunday 09: 00-22:00,6.9,6.8,6.9
Jiushi Barbeque (Gold Coast Plaza Store),58,82, Fusion Barbeque, Xinhaojing/RT-Mart, https://www.dianping.com/shop/EdmCZDRw6wqYhsap, Monday to Sunday 10:00-22:00,7.5,7.5,7.4
Baiguoyuan PAGODA (Fangcun Hualei Road Store),162,28, fruit shop, Fangcun, https://www.dianping.com/shop/EDOgQDrQjUjvfFnI, Monday to Sunday 08:00 -23:30,7.1,7.2,7.2
Crocodile Banquet House. Zhishang Crocodile (Cencun Branch),56,81, creative cuisine, Cencun/Huolushan, https://www.dianping.com/shop/EdPC65X1ohu5CLEA, Monday to Sunday 10:00-22:00,7.2,7.2,7.3
Three thousand ugly cakes (Dashi Metallurgical Store),38,9, snacks, Dashi, https://www.dianping.com/shop/EDpRPWzB9hjXcYbi, Monday to Sunday 10:00 -22:00,7.6,7.6,7.6
Bingshu Sanbao Original Bingshu Farm,68,68, Hakka cuisine, Longdong/Cencun, https://www.dianping.com/shop/EdWTw4VnTxleojXM, Monday to Sunday 09: 00-21:00,7.1,6.7,7
ThaiShuimen Fat Chicken Restaurant (Shi Ergong Branch),14,60, Thai food, along Jiangnan Avenue, https://www.dianping.com/shop/EDy1o7qfxNcZNT8M, Monday to Sunday 11:00-15:0016:00-20:00,7.5,7.5,7.6
Lishanghuang (Nansha Wanda Store),264,18, chestnuts/dried fruits, Jinzhou Business District, https://www.dianping.com/shop/Ee68kX1Uz1KHkpIU, Monday to Sunday 10 :00-22:00,7.4,7.4,7.1
XiyunlouRefreshmentCantonese Cuisine,114,59, Cantonese-style refreshment, Chebei/Dongpu, https://www.dianping.com/shop/Ee7hhphNdHfe6LkD, Monday to Sunday 07:00-22:00,7.6,7.6,7.3
Mai Qiaoer Cake,925,256, bread baking, along Binjiang Road, https://www.dianping.com/shop/EeFOQy3ttOEFf04W, Monday to Sunday 09:00-18:30,8.9,8.7,9
Meet XiangAuthentic Hunan Cuisine (Luoxi Store),1898,79, Hunan Cuisine, Luoxi, https://www.dianping.com/shop/Eeqm9nh050kvMGNa, Monday to Sunday 11 :00-15:0017:00-21:00,9.2,9.1,9.1
Xiao'an Guo Deep Sea Grouper Seafood Hot Pot (Tianhe Branch),356,118, Seafood Hot Pot, Shahe/Tianpingjia/Meihua Garden, https://www.dianping.com/shop/EeZTr3cHyoFYITY8, Monday to Sunday 11:30-14:30 17:00-21:30,8.2,8.2,8.2
Hi Tea (Baixin Plaza West District Store),393,19, tea and juice, along Airport Road, https://www.dianping.com/shop/EezZl2qAVceNrYQj, Monday to Sunday 10:00-22:00,8.2,8.2,8.1
Xuyi Cheng's Lobster (Deyu Wuyangtian Street Store),77,90, crayfish, Wuyang New City, https://www.dianping.com/shop/Ef1hX9OaOErvOdn6, Monday to Sunday 11:30-14:0017:00-02:30,7.6,7.6,7.7
Four pounds and eight ounces of freshly cooked bullfrog hot pot (Dongxiaoshenghuili store),1043,99, Chongqing hot pot, along Dongxiao South Road, https://www.dianping.com/shop/EFB9vSZGuDgAb4Yh, Monday to Sunday 11:00-02:00,9,9,9.1
Spring Flower (Wende Road Store),76,36, Snacks, Beijing Road Commercial District, https://www.dianping.com/shop/EFfTHvDAISEoYYsp, Monday to Sunday 10: 00-22:00,7.2,7.1,7.1
Ji FengDELICACIESExotic Cuisine,314,55, Western food, Luoxi, https://www.dianping.com/shop/EFfZb5yMTe42Y5ea, Monday to Sunday 11:30-14 :3017:30-21:00,8.5,8.4,8.7
Niu Le No. 2 StoreSukiyaki DinnerTeam Building Dinner,2505,167, Sukiyaki/BBQ Buffet, Beijing Road Commercial District, https://www.dianping.com/shop/EfiMfKe2Ij3hJCQC, Monday to Sunday 11:00-22:30,8.1,8.1,8.3
Niu Le No. 2 StoreSukiyaki PutoutTeam Building Dinner,2507,167, Sukiyaki/BBQ Buffet, Beijing Road Commercial District, https://www.dianping.com/shop/EfiMfKe2Ij3hJCQC, Monday to Sunday 11:00-22:30,8.1,8.1,8.3
Nanhai Fishing Village Xu Museum (Pazhou Branch),226,315, Guangzhou Cuisine, Pazhou, https://www.dianping.com/shop/EfiyxfOO1hHBtKc4, Monday to Sunday 11:30- 14:3017:30-22:00,9.2,9.3,9.2
XiangyuHunanFolk Cuisine (Jingxi Branch),563,55, Hunan Cuisine, Tonghe/Jingxi, https://www.dianping.com/shop/EfJEszvd7K5FQ1dp, Monday to Sunday 11:00-21:00,9.2,9.2,9.2
Berry Coffee (Zhongtai International Store),186,17, coffee shop, Tianhe North/Guangzhou East Railway Station, https://www.dianping.com/shop/EFKiIbrqjPMSUVw5, Monday to Friday 07:30-18:00 Saturday and Sunday 08:30-18:00,8.1,8.2,8.3
Beli Tang (Yang Ji Store),52,9, Bread Baking, Dongfengdong/Yang Ji, https://www.dianping.com/shop/EFmXDS8NCtvNczMA, Monday to Sunday 08:30-22:00,7.8,7.8,8
LiaoluoluoLiuzhou snail noodles,80,21, porridge noodles, along Industrial Avenue, https://www.dianping.com/shop/EFPAzkeLfETo5nWK, Monday to Sunday 10: 00-01:00,8,8,8.1
Wen's Street Stall Roast Bird  Lao Ma's Hoof Flowers,236,94, skewers, Shipai/Bainaohui, https://www.dianping.com/shop/EfVqDgQK5RBkVzp5, Monday to Sunday 18:00-04:00,8.7,7.7,8.9
Jiumaojiu Northwest Cuisine (Aoyuan Plaza Store),5303,55, Northwest folk cuisine, Shiqiao, https://www.dianping.com/shop/EFW1exWhnxapiaPV, Monday to Sunday Day 11:00-14:30 17:00-21:00,8.8,8.8,8.9
Xiao Bingsheng (Tianhuan store),12580,150, Cantonese restaurant, Tianhe City/Sports Center, https://www.dianping.com/shop/EfWpHlUBl9weIlIK, Monday to Sunday 11:00-15:0016:30-22:00,8.3,8.5,8.4
Yiji Noodle House (Yifa Store),1368,25, porridge noodles, Shiqiao, https://www.dianping.com/shop/Eg1ni4ct2u8N5KLq, all day from Monday to Sunday,8.9,8.5,8.5
BRO Coffee Shop (Nanhua East Road Store),453,145, Pizza, along Binjiang Road, https://www.dianping.com/shop/Eg2UA1irfWyJTYpI, Monday to Sunday 11:00- 22:00,7.6,7.7,7.7
Taowa (Nanpuli store),252,78, dry pot/incense pot, Nanpu, https://www.dianping.com/shop/Eg5f7LZ8WEVCKxOC, Monday to Sunday 11: 00-14:3017:00-21:00,7.9,8,8
Xiyu Street Charcoal Barbecue (Tianhe Naner Road Store),1924,123, Korean Barbeque, Teem City/Sports Center, https://www.dianping.com/shop/Eg8RivtAv5Y058fe, Monday to Sunday 10:00-23:00,8,8,8.1
Yikou Xiang Casserole with Pickled Fish (Zhengjia Plaza Store),104,36, Pickled Fish/Boiled Fish, Teem City/Sports Center, https://www.dianping.com/shop/EgCR1ifeL9YZyjAw, Monday to Sunday 10:00-22:00,7.6,6.9,7.4
Thai food,772,47, Thai food, along Industrial Avenue, https://www.dianping.com/shop/EgdlU3MKItmetHjs, Monday to Sunday 11:00-14:0017 :00-21:00,8,7.1,7.3
Don-O Borderless Fusion Cuisine (Zhujiang New City Store),229,707, Private Kitchen, Xingsheng Road/Horse Racecourse, https://www.dianping.com/shop/EgGMooNEcZU8K3jS, Monday to Sunday 11:00-14:0017:30-22:30,7.6,8,8.1
PAGODA Baiguoyuan (Baiyun Shangcheng Store),114,32, fruit shop, along Baiyun Avenue, https://www.dianping.com/shop/EgMF2gN4oZCFbDff, Monday to Sunday 08 :00-23:30,7.4,7.5,7.5
Shaoxianji Rooftop BBQOyster Culture (Shiqiao Metro Station Rooftop Store),458,83, Kebab, Shiqiao, https://www.dianping.com/shop/EgNqpdhbCf5VsiYE, Monday to Sunday 18:00-03:00,8.8,8.9,8.7
Those who wish to take the bait (Guangyuan store),383,63, grilled fish, Guangyuan Xincun, https://www.dianping.com/shop/EgRZStm4WyHxQkLU, Monday to Sunday 11: 00-02:00,7.4,7.5,7.5
Hunan and Guangdong food stalls? Grilled fish? Zhongshan pig offal porridge,43,47, grilled fish, Chebei/Dongpu, https://www.dianping.com/shop/EGW6QJgks8JjctJs, Monday to Sunday 10:00-02:00,7.4,7.5,7.6
Lao Ma QiaoNew Hunan Cuisine (Huagang Store),4919,94, Hunan Cuisine, Tianhe Park/Shangshe, https://www.dianping.com/shop/EGxFVO5TdtNHvHZY, Monday to Sunday 11:00-14:00 17:00-21:00,9.1,9.2,9.1
Kessel Xinjiang Uyghur Restaurant (Guangzhou Jiefang North Road Branch),590,83, Xinjiang Cuisine, Dongfeng Middle Road/Yuexiu Park, https://www.dianping.com/shop/EgZzlJOe8a8Qz97p, Monday to Sunday 11:00-24:00,7.4,8,7.1
Aunt Qian (Taojin East Road Store),7,24, fresh food, Huanghuagang, https://www.dianping.com/shop/Eh5FOUv3wE4SAeXE, Monday to Sunday 07:00 -23:30,7.1,7.1,7.1
Baiguoyuan (Sham Yip Jiangyuewan Branch),47,24, fruit shop, Luo Chongwei/Jinshazhou, https://www.dianping.com/shop/Ehad28CWEOyfWIvH, Monday to Sunday 08:00-23:30,7.2,7.2,7.2
Xiaobanniu said buffet beef hot pot,1008,120, buffet, Zhongcun, https://www.dianping.com/shop/EhCweAYbSTnoD7KE, Monday to Sunday 11:00-14 :0017:00-21:00,8.1,8,7.7
Baiguoyuan (Jinyu Lanwan Store),67,31, fruit shop, Luochongwei/Jinshazhou, https://www.dianping.com/shop/EHMSo6PDAmCMarSN, Monday to Sunday 08:00-23:30,7.2,7.2,7.2
Noodle Fresh MasterCrab Roe Noodles (Zhongxin Store),4033,86, Porridge Noodles, Tianhebei/Guangzhou East Railway Station, https://www.dianping.com/shop/EHnj6YJgigRrxNiS, Monday to Sunday 11:00-21:00,9,8.8,8.8
Youjinshan Korean charcoal barbecue (Shiqi store),446,75, Korean barbecue, Shiqi, https://www.dianping.com/shop/EhNvq5OKfFI94Kre, Monday to Sunday Friday 11:00-14:00 16:00-23:30 Saturday and Sunday 11:00-23:30,9,9,9.1
